text,label
Kusho ukuthini kancane,1
Siyakwamukela,2
Kuhle kakhulu impela,2
Kungenzeka impela,1
Kuhle kakhulu,2
Yinhle kakhulu,2
Ngiyakuthanda,2
Kuyaphawuleka kancane,1
Kunjani,1
Yinhle,2
Yinhle,2
Kuyaphawuleka,1
Angijabule,0
Kunzima,0
Yini lokhu,1
Kuyangikhathaza manje,0
Okunye,1
Kuyangikhathaza manje,0
Angiyithandi kakhulu,0
Ngiyakuthanda impela,2
Kuhle kakhulu kakhulu,2
Akukuhle kancane,0
Kuyaphawuleka kakhulu,1
Kuyangicasula impela,0
Kungenzeka manje,1
Yini lokhu kancane,1
Yinhle impela,2
Ngiyajabula impela,2
Akukuhle,0
Kulungile,1
Kubi,0
Ngiyakhathazeka kakhulu,0
Yinhle,2
Yini lokhu manje,1
Ngiyabonga,2
Kunjani,1
Angijabule kancane,0
Angazi,1
Ngiyabonga impela,2
Kungenzeka,1
Ngiyayithanda impela,2
Kuhle,2
Ngicabanga,1
Mhlawumbe kancane,1
Angijabule,0
Ngiyabonga,2
Kumnandi,2
Kumnandi nje,2
Angiyithandi kancane,0
Ngiyakuthanda,2
Kabi,0
Kunzima,0
Kulungile nje,1
Kunzima,0
Ngicabanga nje,1
Kuyangikhathaza kakhulu,0
Ngiyayithanda kancane,2
Ngiyajabula manje,2
Kuhle kakhulu,2
Siyajabula nje,2
Angiyithandi,0
Ngiyayithanda manje,2
Kumnandi impela,2
Yini lokhu,1
Kunzima kakhulu,0
Angiyithandi kakhulu,0
Angazi impela,1
Angithandi,0
Yini lokhu impela,1
Ngiyakhathazeka impela,0
Ngiyayithanda,2
Siyakwamukela,2
Kungenzeka,1
Kunjani nje,1
Yinhle,2
Kulungile,1
Okunye,1
Kumnandi impela,2
Siyakwamukela impela,2
Yini lokhu manje,1
Okunye,1
Ngicabanga,1
Kunjani,1
Kubi kakhulu,0
Angijabule,0
Kulungile,1
Kuhle kakhulu,2
Kuyangikhathaza manje,0
Angijabule,0
Kubi nje,0
Kabi,0
Ngiyakuthanda impela,2
Ngicabanga kakhulu,1
Kabi manje,0
Angithandi,0
Kunjani,1
Angithandi kakhulu,0
Ngiyajabula,2
Kuhle nje,2
Kubi nje,0
Mhlawumbe kancane,1
Kuhle nje,2
Kungenzeka impela,1
Kumnandi nje,2
Angiyithandi,0
Mhlawumbe,1
Okunye kakhulu,1
Angithandi,0
Ngiyakuthanda,2
Kuhle,2
Siyajabula impela,2
Kunzima,0
Siyajabula,2
Ngiyajabula nje,2
Kuyangicasula,0
Angijabule kakhulu,0
Kuyangicasula,0
Ngiyakuthanda kancane,2
Kunzima nje,0
Angithandi manje,0
Mhlawumbe,1
Siyajabula nje,2
Kuyangikhathaza manje,0
Kuyaphawuleka nje,1
Kungenzeka nje,1
Yinhle,2
Ngicabanga,1
Ngiyabonga,2
Angiyithandi,0
Kuyangikhathaza manje,0
Ngicabanga impela,1
Angazi,1
Kungenzeka,1
Angithandi,0
Kunzima nje,0
Kuyaphawuleka,1
Angijabule manje,0
Angazi,1
Ngiyayithanda nje,2
Kusho ukuthini,1
Ngiyabonga nje,2
Angijabule kancane,0
Ngiyabonga impela,2
Okunye nje,1
Ngiyajabula,2
Kulungile impela,1
Ngiyayithanda kakhulu,2
Ngicabanga kancane,1
Mhlawumbe nje,1
Kuhle kakhulu kancane,2
Kuhle,2
Kuhle kakhulu,2
Okunye,1
Kungenzeka manje,1
Kuyangicasula,0
Akukuhle,0
Kuhle,2
Kabi,0
Yini lokhu impela,1
Okunye manje,1
Akukuhle impela,0
Kuyaphawuleka nje,1
Siyajabula,2
Angijabule nje,0
Kabi impela,0
Ngiyakuthanda,2
Kunzima,0
Angijabule nje,0
Kusho ukuthini,1
Mhlawumbe,1
Ngiyajabula,2
Mhlawumbe,1
Kubi,0
Akukuhle,0
Kuyangicasula,0
Angijabule,0
Kuhle kancane,2
Kuyangicasula impela,0
Okunye kakhulu,1
Yinhle,2
Kuhle kakhulu,2
Kuhle kakhulu,2
Kuyaphawuleka,1
Mhlawumbe,1
Okunye impela,1
Kunzima manje,0
Angazi impela,1
Kuhle,2
Kubi impela,0
Kungenzeka,1
Kunzima nje,0
Kuyaphawuleka,1
Ngiyajabula,2
Ngiyajabula,2
Yinhle,2
Kubi,0
Angijabule,0
Mhlawumbe impela,1
Ngiyakuthanda,2
Yinhle,2
Kabi,0
Siyakwamukela,2
Kusho ukuthini manje,1
Ngiyabonga kancane,2
Ngiyayithanda,2
Mhlawumbe manje,1
Ngiyakuthanda nje,2
Kabi kakhulu,0
Ngiyabonga impela,2
Kusho ukuthini,1
Kumnandi kakhulu,2
Kungenzeka,1
Ngiyajabula,2
Angithandi,0
Kungenzeka,1
Ngiyakuthanda manje,2
Ngiyakhathazeka manje,0
Kubi,0
Kuyangicasula,0
Ngiyakhathazeka impela,0
Angithandi nje,0
Ngiyayithanda impela,2
Siyajabula nje,2
Kuyangicasula,0
Kuyangikhathaza kakhulu,0
Okunye,1
Kuyaphawuleka,1
Kuyaphawuleka,1
Siyakwamukela nje,2
Kuhle kakhulu,2
Angiyithandi kancane,0
Yini lokhu,1
Yini lokhu impela,1
Mhlawumbe manje,1
Kabi manje,0
Ngiyabonga,2
Kabi,0
Siyajabula,2
Ngiyakhathazeka,0
Angazi,1
Ngicabanga,1
Kuyangicasula nje,0
Angiyithandi manje,0
Kungenzeka,1
Angijabule,0
Ngicabanga,1
Kunjani,1
Mhlawumbe,1
Ngiyayithanda,2
Kuyangikhathaza,0
Ngiyayithanda,2
Kunjani impela,1
Ngiyabonga nje,2
Kuyaphawuleka,1
Siyajabula manje,2
Siyakwamukela manje,2
Kungenzeka nje,1
Kusho ukuthini,1
Kulungile impela,1
Angithandi,0
Kuyangikhathaza kancane,0
Kuhle kakhulu,2
Siyakwamukela kakhulu,2
Akukuhle impela,0
Kabi,0
Kabi kancane,0
Kumnandi,2
Kuhle kancane,2
Ngiyakuthanda,2
Angijabule,0
Siyajabula,2
Siyajabula impela,2
Ngiyajabula manje,2
Yini lokhu manje,1
Kuyangikhathaza impela,0
Kubi kancane,0
Angiyithandi,0
Kuhle kakhulu,2
Ngiyayithanda nje,2
Yini lokhu,1
Yinhle impela,2
Ngiyabonga kancane,2
Akukuhle,0
Kuhle kakhulu,2
Ngiyakuthanda,2
Siyakwamukela,2
Kuhle kakhulu,2
Angiyithandi impela,0
Kuyangicasula manje,0
Kungenzeka,1
Ngiyabonga,2
Ngicabanga manje,1
Siyajabula,2
Angazi kancane,1
Akukuhle kakhulu,0
Ngiyakhathazeka nje,0
Angazi,1
Yini lokhu,1
Kunjani kakhulu,1
Ngiyakuthanda,2
Kuhle kakhulu kakhulu,2
Okunye,1
Yinhle impela,2
Angijabule kakhulu,0
Kunzima nje,0
Kusho ukuthini,1
Siyajabula nje,2
Kusho ukuthini manje,1
Siyakwamukela manje,2
Kuyangicasula impela,0
Angijabule nje,0
Kabi nje,0
Kuyaphawuleka manje,1
Angazi,1
Ngicabanga,1
Ngiyabonga kakhulu,2
Kunzima,0
Angiyithandi manje,0
Kuyangicasula,0
Kungenzeka,1
Yini lokhu,1
Ngiyakuthanda,2
Okunye manje,1
Yinhle manje,2
Yini lokhu,1
Yini lokhu,1
Kumnandi nje,2
Kungenzeka kakhulu,1
