text,label
Kuyangicasula,0
Ngiyabonga,2
Angithandi kancane,0
Mhlawumbe kancane,1
Kuyaphawuleka nje,1
Mhlawumbe,1
Kuyaphawuleka,1
Kulungile kakhulu,1
Kubi,0
Kubi,0
Ngiyakuthanda,2
Angiyithandi,0
Angazi,1
Siyakwamukela nje,2
Kumnandi manje,2
Kungenzeka kancane,1
Kuyangicasula,0
Kubi,0
Akukuhle,0
Kabi kakhulu,0
Yinhle,2
Okunye nje,1
Yini lokhu,1
Ngiyajabula kancane,2
Yinhle manje,2
Kuhle kakhulu manje,2
Kungenzeka kancane,1
Siyakwamukela impela,2
Yinhle,2
Angiyithandi,0
Mhlawumbe,1
Siyajabula nje,2
Kuyangikhathaza,0
Kuyangicasula manje,0
Ngiyakuthanda lo mkhiqizo!,2
Kabi nje,0
Kuyangikhathaza,0
Kuhle,2
Ngiyakuthanda impela,2
Okunye manje,1
Kunzima manje,0
Kabi manje,0
Angijabule nje,0
Mhlawumbe,1
Angijabule kakhulu,0
Kumnandi kancane,2
Okunye,1
Ngiyayithanda impela,2
Kulungile,1
Ngiyakuthanda manje,2
Kuhle kancane,2
Angijabule,0
Kungenzeka,1
Kunzima kakhulu,0
Kuhle kakhulu,2
Ngicabanga,1
Ngiyakhathazeka nje,0
Akukuhle,0
Ngiyakuthanda,2
Kusho ukuthini,1
Ngicabanga manje,1
Siyajabula,2
Ngicabanga impela,1
Akukuhle,0
Okunye manje,1
Kuyangicasula impela,0
Siyakwamukela,2
Kubi impela,0
Kuyangikhathaza manje,0
Kunzima,0
Kabi impela,0
Angiyithandi,0
Kuyaphawuleka,1
Kusho ukuthini,1
Siyakwamukela,2
Yini lokhu nje,1
Kunzima manje,0
Yini lokhu impela,1
Angiyithandi nje,0
Angithandi,0
Mhlawumbe manje,1
Ngiyabonga nje,2
Ngicabanga,1
Kuhle kakhulu,2
Ngiyakuthanda manje,2
Kabi manje,0
Kumnandi manje,2
Ngiyabonga,2
Kunjani kancane,1
Mhlawumbe,1
Kuhle kakhulu,2
Angijabule kancane,0
Angiyithandi kakhulu,0
Kumnandi nje,2
Yinhle,2
Kunzima,0
Angijabule kakhulu,0
Siyakwamukela,2
Ngiyabonga,2
Akukuhle,0
Ngiyakuthanda impela,2
Ngicabanga impela,1
Angazi,1
Ngiyakhathazeka kakhulu,0
Akukuhle kancane,0
Akukuhle kancane,0
Kuyangicasula,0
Ngiyakhathazeka nje,0
Kumnandi,2
Kungenzeka manje,1
Kuhle manje,2
Kuhle,2
Ngiyakuthanda kancane,2
Angithandi,0
Kabi manje,0
Siyajabula,2
Kusho ukuthini impela,1
Kunjani kancane,1
Angazi manje,1
Kulungile manje,1
Kunzima,0
Kuyangikhathaza,0
Siyajabula,2
Ngiyajabula manje,2
Kuhle kakhulu,2
Kunzima,0
Siyakwamukela impela,2
Ngiyayithanda kancane,2
Yinhle,2
Kuhle kancane,2
Yinhle impela,2
